Código;enunciado;alternativas;Matéria;Subtópico 1;Subtópico 2
TJSE25-25;Joana ajuizou ação, pelo procedimento comum, em face de Valmir, seu vizinho, na qual requereu a condenação do réu a remover o muro divisório entre as respectivas casas, por ele ter sido construído em desconformidade com a legislação civil sobre direito de vizinhança. Na sentença, o juiz julgou procedente o pedido, condenando Valmir a remover a construção. Outrossim, o magistrado também condenou Valmir ao pagamento das custas processuais e honorários advocatícios, a despeito da ausência de pedido de Joana a respeito. Transitada em julgado a sentença, Joana requereu seu cumprimento ao juízo, o qual fixou 15 dias para Valmir retirar o muro, sob pena de multa diária. Findo o prazo assinalado, diante da inércia de Valmir, Joana pediu a conversão da obrigação em perdas em danos. Tomando o caso acima como premissa, é correto afirmar que:;"(A) é dispensada a formulação de pedido expresso de condenação do réu ao reembolso das custas processuais e pagamento de honorários advocatícios, tratando-se de pedidos implícitos; | (B) a conversão da obrigação em perdas e danos é vedada na hipótese, por ser possível a obtenção da tutela específica, independentemente do requerimento formulado por Joana; | (C) o juiz poderá, de ofício ou a requerimento, modificar apenas o valor ou a periodicidade da multa vincenda, caso verifique que se tornou insuficiente ou excessiva; | (D) a fixação de multa diária se deu mediante requerimento de Joana, visto que as medidas necessárias para a satisfação do exequente de tal espécie de obrigação dependem de pedido da parte; | (E) a hipótese narrada admite o cumprimento provisório de sentença, visto que o recurso de apelação, como regra, possui efeito meramente devolutivo.";V.DIREITO PROCESSUAL CIVIL;16. Cumprimento de sentença;sem aderência
TJSE25-26;Nos autos de ação movida por João em face de Jonias, o réu alegou três questões preliminares e uma questão prejudicial em sede de contestação. Ao efetuar o saneamento e a organização do processo, o juízo rejeitou as preliminares arguidas por Jonias e postergou o exame da questão prejudicial para a sentença, por entender que o exame de tal questão se confundia com a análise do mérito do processo. Outrossim, o magistrado também determinou a produção de prova pericial, nomeando o perito no mesmo ato, e prova oral, consistente em depoimento pessoal e oitiva de testemunhas indicadas pelas partes. Jonias discordou do entendimento adotado pelo magistrado, por entender que as questões preliminares e a prejudicial deveriam ser analisadas em conjunto no saneamento do processo. Nesse caso, considerando as disposições do Código de Processo Civil e a jurisprudência do Superior Tribunal de Justiça, é correto afirmar que:;"(A) Jonias poderá requerer o esclarecimento da decisão no prazo de dez dias, findo o qual a decisão se tornará estável; | (B) o número de testemunhas arroladas não pode ser superior a seis, sendo duas, no máximo, para a prova de cada fato; | (C) como o exame da questão prejudicial se confunde com a análise do mérito do processo, não há nulidade processual decorrente da postergação de sua análise para a sentença; | (D) a arguição de impedimento ou suspeição do perito poderá ser formulada por petição simples, no prazo de cinco dias a contar da ciência da nomeação pelas partes; | (E) João e Jonias poderão assistir um ao depoimento do outro, independentemente de já terem deposto ou não. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 10";V.DIREITO PROCESSUAL CIVIL;6. Atos processuais: forma, tempo e lugar;sem aderencia. (subtópico não encontrado)
TJSE25-27;Tâmara Doces Ltda. ajuizou ação, pelo procedimento comum, em face de Nivaldo, seu ex-sócio. O intuito da sociedade empresária é o de obter a condenação do réu a restituir 600 mil reais referentes a dividendos percebidos em desconformidade com o contrato social. Pouco antes da propositura da petição inicial, a Tâmara Doces Ltda. tomou ciência de que Nivaldo, ante a iminência de se tornar réu, havia iniciado tratativas para alienar todo o seu patrimônio por meio de doações e vendas simuladas, de modo a evitar eventual satisfação do crédito de titularidade da sociedade. Em razão de tal fato, a sociedade autora formulou pedido na petição inicial para que fosse expedida certidão de admissibilidade do processo, no intuito de efetuar a averbação da referida certidão no Registro de Imóveis e no Detran. A respeito do tema, considerando as disposições do Código de Processo Civil e a jurisprudência do Superior Tribunal de Justiça, é correto afirmar que:;"(A) o pleito deverá ser indeferido, pois tal espécie de averbação somente é cabível na fase de cumprimento de sentença ou em sede de processo de execução fundado em título extrajudicial; | (B) deferido o pedido e efetuadas as averbações pertinentes, eventual alienação de bens por Nivaldo será tida como nula em relação à Tâmara Doces Ltda.; | (C) comprovados os requisitos para concessão de tutela provisória de urgência de natureza cautelar, o pedido da Tâmara Doces Ltda. poderá ser deferido pelo juízo; | (D) malgrado a natureza cautelar do pedido formulado pela Tâmara Doces Ltda., seu deferimento liminar não é cabível, devendo haver prévia citação de Nivaldo para que possa se manifestar, em nome do direito fundamental ao contraditório; | (E) o pedido da Tâmara Doces Ltda. deverá ter sua análise postergada para a decisão de saneamento e organização do processo, ocasião em que caberá ao magistrado decidir sobre tal questão controvertida.";V.DIREITO PROCESSUAL CIVIL;10. Tutela provisória: conceito, função, espécies;sem aderência
TJSE25-28;O Código de Defesa do Consumidor é aplicável à relação entre:;"(A) locador, pessoa jurídica exploradora do mercado imobiliário, e locatário, pessoa física; | (B) advogado e seu cliente; | (C) assessor contábil e seu cliente, profissional liberal; | (D) concedente e concessionário de direito real de uso de jazigo perpétuo em cemitério particular; | (E) adquirentes, pessoas físicas de unidades em empreendimento imobiliário, e construtora, em qualquer regime e mesmo que se trate de investidor imobiliário ocasional.";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJSE25-29;Filadélfia é viúva de Godofredo, que era titular do plano de saúde familiar Viva Tranquilo – Top II. Às vésperas do término do período de remissão, a operadora envia a seguinte correspondência: “Prezada Beneficiária, comunicamos que, em 60 dias, seu contrato será extinto, seja pelo término do período de remissão, seja porque vale a presente como notificação para rescisão do contrato por desinteresse em sua continuidade”. Nesse caso, a conduta da operadora é:;"(A) legítima, na medida em que o período de remissão serve justamente para que os dependentes procurem outro plano, sob pena de se eternizar o vínculo originário com o titular falecido, bem como considerando a possibilidade de rescisão imotivada de contratos coletivos, como os familiares, desde que notificados os interessados com antecedência mínima de 60 dias; | (B) legítima, na medida em que o período de remissão serve justamente para que os dependentes procurem outro plano, sob pena de se eternizar o vínculo originário com o titular falecido, bem como considerando a possibilidade de rescisão imotivada de contratos coletivos, como os familiares, desde que notificados os interessados com antecedência mínima de 60 dias, a quem se deverá oportunizar a portabilidade, com aproveitamento de carências, para outro plano com equiparável cobertura; | (C) ilegítima, na medida em que o término da remissão não extingue o contrato de plano familiar, sendo assegurado aos dependentes já inscritos o direito à manutenção das mesmas condições contratuais, com a assunção das obrigações decorrentes, para os contratos firmados a qualquer tempo. Da mesma forma, não é possível a rescisão unilateral de contrato familiar, equiparado ao individual; | (D) ilegítima quanto ao primeiro fundamento, na medida em que o término da remissão não extingue o contrato de plano familiar, sendo assegurado aos dependentes já inscritos o direito à manutenção das mesmas condições contratuais, com a assunção das obrigações decorrentes, para os contratos firmados a qualquer tempo. Nada obstante, é possível a rescisão imotivada de contratos coletivos, como os familiares, desde que notificados os interessados com antecedência mínima de 60 dias a quem se deverá oportunizar a portabilidade, com aproveitamento de carências, para outro plano com equiparável cobertura; | (E) legítima quanto ao primeiro fundamento, na medida em que o período de remissão serve justamente para que os dependentes procurem outro plano, sob pena de se eternizar o vínculo originário com o titular falecido. Nada obstante, não é possível a rescisão unilateral de contrato familiar, equiparado ao individual. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 11";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderência
TJSE25-30;Na fase pré-processual de procedimento de repactuação de dívidas (superendividamento), designou-se audiência de conciliação. Compareceram à sessão, além do autor, quatro credores, inclusive uma autarquia federal, dentre os cinco arrolados na inicial. Nesse caso, o juiz de direito responsável pelo Centro Judiciário de Solução de Conflitos e Cidadania (CEJUSC):;"(A) não poderá impor as sanções previstas no Art. 104-A, §2º, do CDC, por se tratar de fase pré-processual (suspensão da exigibilidade do débito e a interrupção dos encargos da mora e sujeição compulsória ao plano de pagamento da dívida se o montante devido ao credor ausente for certo e conhecido pelo consumidor); | (B) poderá impor as sanções previstas no Art. 104-A, §2º, do CDC apenas ao credor que não compareceu à audiência, mas não aos demais, ainda que sem poderes reais para transigir, desde que apresentem procuração com poderes para participar do ato; | (C) poderá aplicar as sanções previstas no Art. 104-A, §2º, do CDC ao credor que faltou à audiência, bem como aos demais que comparecerem sem reais poderes para transigir, atentando-se à efetiva participação no processo conciliatório, ainda que um deles seja ente público federal; | (D) poderá aplicar as sanções previstas no Art. 104-A, §2º, do CDC ao credor que faltou à audiência, bem como aos demais que comparecerem sem reais poderes para transigir, atentando-se à efetiva participação no processo conciliatório, mas não ao ente federal, em relação a quem o processo deverá ser desmembrado e remetido à Justiça Federal; | (E) poderá aplicar as sanções previstas no Art. 104-A, §2º, do CDC ao credor que faltou à audiência, bem como aos demais que comparecerem sem reais poderes para transigir, atentando-se à efetiva participação no processo conciliatório, mas não ao ente federal, em relação a quem o processo deverá ser extinto, diante da impossibilidade de se revisar, por esta via, crédito de natureza pública.";V.DIREITO PROCESSUAL CIVIL;24. Meios adequados e integrados de solução de conflitos: o sistema de justiça multi;sem aderência
TJSE25-31;Hideraldo, idoso e analfabeto, tenta contratar empréstimo com o Banco Dinheiro na Mão S/A. A instituição financeira, então, informa que a soma do número de parcelas com a idade do mutuário não poderá ultrapassar 80 anos. Assim, Hideraldo, que realmente precisava do dinheiro, concorda com um prazo de pagamento menor, com o que o empréstimo é concedido. Isto resolvido, o banco oferece, adicionalmente, um seguro prestamista, ao qual prontamente adere Hideraldo. Nesses termos, o negócio é formalizado em documento particular, assinado a rogo pelo tomador do crédito, na presença de duas testemunhas do banco. Nesse caso, considerada a hipervulnerabilidade do consumidor idoso:;"(A) o negócio jurídico é plenamente válido e eficaz; | (B) é abusiva a limitação quanto ao número de parcelas; | (C) é nulo, por vício de forma, o contrato particular assinado por consumidor analfabeto; | (D) é abusiva a venda casada do seguro prestamista; | (E) o negócio jurídico é nulo, por vício de forma, e são abusivas as cláusulas de limitação do número de parcelas e a venda casada.";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJSE25-32;Goldão, persuadido por um anúncio, comprou, em um marketplace, celular de conceituada marca para presentear sua mãe, Goldina. Sucede que, ao entregar o presente para a aniversariante, constatou que se tratava de produto distinto daquele que havia comprado, se bem que de geração posterior e de linha superior. Ao contatar o vendedor, foi informado de que o celular anunciado deixou de ser fabricado recentemente, logo após a compra, e de que os últimos estoques tinham sido recolhidos pelo fabricante. Nesse caso, é correto afirmar que:;"(A) ambos, Goldão e Goldina, são considerados consumidores e podem requerer, a seu critério, a troca do produto por outro equivalente, a rescisão do contrato com direito à restituição da quantia já paga, monetariamente atualizada, e a perdas e danos, a par do cumprimento forçado da obrigação, nos termos da oferta, em face do fabricante, solidariamente responsável, que, então, deverá disponibilizar o modelo propagandeado; | (B) apenas Goldão, que adquiriu o produto, é considerado consumidor e pode requerer, a seu critério, a troca do produto por outro equivalente, a rescisão do contrato com direito à restituição da quantia já paga, monetariamente atualizada, e a perdas e danos, a par do cumprimento forçado da obrigação, nos termos da oferta, em face do fabricante, solidariamente responsável, que, então, deverá disponibilizar o modelo propagandeado; | (C) apenas Goldina, destinatária final, é considerada consumidora e pode requerer, a seu critério, a troca do produto por outro equivalente, a rescisão do contrato com direito à restituição da quantia já paga, monetariamente atualizada, e a perdas e danos, a par do cumprimento forçado da obrigação, nos termos da oferta, em face do fabricante, solidariamente responsável, que, então, deverá disponibilizar o modelo propagandeado; | (D) ambos, Goldão e Goldina, são considerados consumidores e podem requerer, a seu critério, a troca do produto por outro equivalente, a rescisão do contrato com direito à restituição da quantia já paga, monetariamente atualizada, e a perdas e danos; mas não o cumprimento forçado da obrigação nos termos da oferta; | (E) apenas Goldão, que adquiriu o produto, é considerado consumidor e pode requerer, a seu critério, a troca do produto por outro equivalente, a rescisão do contrato com direito à restituição da quantia já paga, monetariamente atualizada, e a perdas e danos; mas não o cumprimento forçado da obrigação nos termos da oferta. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 12";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderência
TJSE25-33;"Em uma demanda consumerista versando sobre pane elétrica em automóvel, o juiz proferiu a seguinte decisão: “1. Primeiramente, inverto o ônus da prova em favor do consumidor, por considerar liminarmente provada sua vulnerabilidade técnica; 2. Indefiro, contudo, a tutela antecipada para a imediata disponibilização do veículo reserva. Afinal, se por um lado a providência é irreversível, não há dano irreparável a considerar, na medida em que todos os prejuízos indicados na inicial são plenamente componíveis ao final, se evidenciada a razão do autor”. Nesse caso, à luz exclusivamente do Código de Defesa do Consumidor, é correto afirmar que o magistrado:";"(A) acertou em ambos os itens; | (B) equivocou-se apenas no primeiro item, porque, para inversão do ônus da prova, a par da vulnerabilidade técnica, é necessário que se comprove também a verossimilhança das alegações; | (C) equivocou-se apenas no segundo item, diante da primazia da tutela específica; | (D) equivocou-se apenas no primeiro item, porque, embora os requisitos sejam alternativos (vulnerabilidade ou verossimilhança), não poderia ter decretado a inversão do ônus da prova liminarmente; | (E) equivocou-se em ambos os itens.";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJSE25-34;Pedralto impetra habeas data em face do Cadastro de Proteção ao Crédito, banco de dados em que consta negativação de seu nome. Pretende, então, que seja anotada explicação sobre o apontamento, e o questiona judicialmente sob o fundamento de ter sido notificado apenas por e-mail sobre a inscrição de seu nome em cadastro de inadimplentes. Nesse caso, é correto afirmar que:;"(A) a impetração merece prosperar, como também a impugnação judicial; | (B) a impugnação judicial merece prosperar, mas não a impetração, considerada a ilegitimidade do réu; | (C) a impugnação judicial merece prosperar, mas não a impetração, considerada a inadequação da via eleita para anotação de explicações; | (D) a impetração merece prosperar, mas não a impugnação judicial, diante da validade da notificação por e-mail; | (E) nem a impetração nem a impugnação judicial merecem prosperar.";IV.DIREITOS HUMANOS;6. Os direitos humanos na Constituição Federal de 1988;sem aderencia. (subtópico não encontrado)
TJSE25-35;O conselho tutelar promoveu representação administrativa em face de Isidro, genitor da adolescente F. A. S. Pleiteia-se a aplicação da multa prevista no Art. 249 da Lei nº 8.069/1990, em seu patamar mínimo de três salários mínimos, pois se trata de família de baixa renda. Como causa de pedir, o órgão aduz que o representado se mostrou negligente quanto à frequência escolar da infante, o que se confirmou pelos elementos produzidos nos autos, pois a adolescente teve frequência de apenas 12% durante todo o ano letivo de 2023. No curso do processo, F. A. S. atingiu a maioridade. Nesse caso, é correto afirmar que:;"(A) a representação deverá ser julgada improcedente, pois a hipossuficiência e a vulnerabilidade econômica do representado afastam a aplicação da penalidade pecuniária requerida; | (B) não é aplicável a multa no caso narrado, uma vez que, de acordo com a Lei nº 8.069/1990, o descumprimento, doloso ou culposo, dos deveres inerentes ao poder familiar não enseja a aplicação de penalidade de natureza pecuniária; | (C) é admissível a aplicação de multa administrativa aos pais por descumprimento de deveres inerentes ao poder familiar em patamar inferior ao mínimo legal, levando-se em consideração a hipossuficiência financeira ou a vulnerabilidade da família; | (D) a maioridade alcançada por F. A. S. gerou a perda do poder familiar, razão pela qual não há mais interesse em se impor qualquer penalidade ao genitor, considerada a função pedagógica e punitiva da medida; | (E) é legítima a aplicação de multa administrativa, de modo que a maioridade da infante F. A. S. em nada influencia a solução do caso. Com isso, aplica-se a multa em seu patamar mínimo de três salários mínimos, pois a vulnerabilidade econômica do representado não é hábil a conduzir a penalidade para aquém do mínimo legal. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 13";III.NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;9. Direito da antidiscriminação;sem aderência
TJSE25-36;"Carla e Pedro, casal brasileiro domiciliado no exterior, iniciam processo de adoção de uma adolescente no Brasil. A adolescente G. E. F., pessoa com deficiência neurológica, tem 13 anos e está em programa de acolhimento institucional desde tenra idade. Sua genitora é falecida e o genitor é desconhecido. Não há indivíduos integrantes da família extensa que possam assumir a sua guarda. Durante o trâmite da ação de adoção proposta, que segue seu curso adequado e regular, o casal se divorcia; entretanto, mesmo com a separação, manifestam o desejo de continuar com o processo de adoção da infante. Em relação ao caso narrado, é correto afirmar que:";"(A) a adoção de criança ou adolescente residente no Brasil realizada por brasileiro domiciliado no exterior é considerada adoção internacional; | (B) o caso narra a hipótese de adoção nacional, de modo que Carla e Pedro poderiam requerer a adoção de criança brasileira sem estar previamente registrados nos cadastros de adoção, nas hipóteses permitidas pelo Estatuto da Criança e do Adolescente; | (C) o estágio de convivência, na hipótese narrada, poderá ser realizado no exterior ou, ainda, dispensado se a adolescente já estiver sob a tutela ou guarda legal dos adotantes durante tempo suficiente para que seja possível avaliar a conveniência da constituição do vínculo; | (D) a adoção depende do consentimento dos pais ou do representante legal do adotando. Todavia, o consentimento será dispensado em relação à criança ou adolescente cujos pais sejam desconhecidos ou tenham sido suspensos ou destituídos do poder familiar; | (E) os divorciados, os judicialmente separados e os excompanheiros podem adotar conjuntamente, contanto que acordem sobre a guarda, alimentos e o regime de visitas e desde que o estágio de convivência tenha sido iniciado na constância do período de convivência e que seja comprovada a existência de vínculos de afinidade e afetividade, com aquele não detentor da guarda, que justifiquem a excepcionalidade da concessão.";VI.DIREITO CIVIL;19. Aspectos gerais do direito de família e das sucessões;sem aderência
TJSE25-37;O Ministério Público propôs ação de destituição do poder familiar em face de Dalila, com relação à criança G. G. F. Argumenta-se que o infante foi submetido a diversos acolhimentos em razão de episódios de violência física e outras negligências por parte da genitora. O genitor da criança é falecido e, atualmente, ela está sob a guarda fática de sua avó paterna. O juízo concedeu a liminar para suspender o poder familiar e a requerida foi citada, porém não ofereceu resposta nos autos, razão pela qual foi decretada a sua revelia. Não houve nomeação de curador especial em favor da criança. Consta dos autos o relatório da equipe técnica da instituição de acolhimento, bem como parecer psicossocial da equipe multidisciplinar que assiste ao juízo. Ao final do processo, colhidos os elementos probatórios em instrução, o magistrado decretou a perda do poder familiar de Dalila em relação ao infante G. G. F. A genitora interpôs recurso para anular o referido provimento judicial, ao argumento de flagrante erro procedimental. Sobre esse caso, considerando as disposições da Lei nº 8.069/1990, é correto afirmar que:;"(A) é dispensável a oitiva do genitor que, citado pessoalmente, não compareceu nos autos; | (B) era obrigatória a intimação da avó paterna, guardiã da criança, para se manifestar nos autos, em respeito ao devido processo legal e ao contraditório; | (C) a concessão da liminar será, obrigatoriamente, precedida de entrevista com a criança ou com o adolescente perante equipe multidisciplinar; | (D) no caso, era necessária a nomeação de curador especial em favor da criança, em respeito ao princípio da proteção integral; | (E) o procedimento para a perda ou a suspensão do poder familiar terá início por provocação do Ministério Público ou de ofício pela Justiça da Infância e da Juventude, quando, não ajuizada a ação, o magistrado entender que tal demanda atenderia ao interesse da criança. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 14";III.NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;9. Direito da antidiscriminação;sem aderência
TJSE25-38;Rodrigo, adolescente de 17 anos de idade, pratica ato infracional equiparado ao crime de roubo com emprego de arma de fogo. O Ministério Público oferece a representação e, durante o curso do processo, Rodrigo completa 18 anos. Ante o indeferimento da internação provisória pelo juízo, Rodrigo respondeu ao processo infracional em liberdade. Antes da instrução, noticia-se nos autos que Rodrigo também figura como réu por crime de estupro cometido após a prática do ato infracional. O magistrado acolhe o pleito ministerial e aplica medida socioeducativa de internação. Após dois anos de cumprimento, apresenta-se relatório indicando o advento de transtorno mental de Rodrigo. Considerando o caso proposto, as disposições concernentes à execução das medidas socioeducativas, a Lei do Sinase (Lei nº 12.594/2012) e a Resolução CNJ nº 165/2012, é correto afirmar que:;"(A) a liberação do jovem de programa de atendimento, quando completados os 21 anos, depende de decisão judicial específica; | (B) para a facilitação, eficiência e celeridade dos atos processuais entre juízos, permite-se o processamento da execução da medida socioeducativa por carta precatória; | (C) no caso de o maior de 18 anos, em cumprimento de medida socioeducativa, responder a processo-crime, ocorrerá extinção automática da execução, ante a ausência de interesse no processo de reeducação, cientificando-se o juízo criminal competente; | (D) o adolescente em cumprimento de medida socioeducativa não pode ser transferido para hospital de custódia, salvo se responder por infração penal praticada após os 18 anos e por decisão do juízo criminal competente; | (E) segundo entendimento do Superior Tribunal de Justiça, ante a suspensão da execução da medida, o período de tratamento não deve ser computado no prazo de três anos, imposto pelo Art. 121, §3º, do ECA, como limite máximo à medida socioeducativa de internação.";III.NOÇÕES GERAIS DE DIREITO E FORMAÇÃO HUMANÍSTICA;3. Ética e estatuto jurídico da magistratura nacional;sem aderência
TJSE25-39;Nilma, no sétimo mês de gestação, decide que entregará seu filho para adoção, pois entende que não possui condições financeiras para criá-lo. Com o nascimento, Nilma entrega a criança para um casal de amigos, por quem nutre grande consideração e que sabe serem pessoas honestas e idôneas. O casal Thimóteo e Ana, após muita insistência de Nilma, acaba por aceitar o encargo. No ano de 2024, quando a infante já contava com 4 anos de idade, em razão da criação de vínculos afetivos, o casal ingressa com ação de adoção com a anuência de Nilma. Aberta vista ao Ministério Público, o promotor articula requerimento de busca e apreensão da criança com o consequente encaminhamento para família devidamente incluída no Cadastro Nacional de Adoção. O magistrado determina a expedição do mandado de busca e apreensão, o acolhimento institucional e a consulta ao cadastro por interessados na adoção da infante. Nesse caso, é correto afirmar que:;"(A) cuida-se de hipótese da denominada adoção intuitu personae; | (B) a decisão relativa à busca e apreensão foi acertada; entretanto, antes de proceder à colocação da criança em família substituta, o magistrado deveria determinar a pesquisa por membros da família extensa interessados em assumir a guarda da criança; | (C) de acordo com a jurisprudência do Superior Tribunal de Justiça, a ordem cronológica de preferência das pessoas previamente cadastradas para adoção tem um caráter absoluto, em observância ao princípio do melhor interesse da criança e do adolescente, razão de ser de todo o sistema de defesa erigido pelo Estatuto da Criança e do Adolescente, que tem na doutrina da proteção integral sua pedra basilar; | (D) a decisão relativa à busca e apreensão não foi adequada; no entanto, em observância ao devido processo legal, o magistrado deveria determinar, para manifestação nos autos, a intimação de eventuais membros da família natural, ou seja, aquela formada por parentes próximos com os quais a criança ou adolescente convive e mantém vínculos de afinidade e afetividade; | (E) a busca e apreensão e a colocação em acolhimento institucional não foram medidas adequadas, isso porque o infante está inserido em um ambiente familiar, com formação de suficiente vínculo socioafetivo com os seus guardiões de fato. Assim, caso não haja pretendente interessado em adotá-lo, a adoção poderá ser concedida ao casal Thimóteo e Ana. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 15";V.DIREITO PROCESSUAL CIVIL;23. Custos do processo;sem aderencia. (subtópico não encontrado)
TJSE25-40;A proteção e o devido respeito aos direitos das crianças e adolescentes com transtornos mentais são essenciais para a garantia do seu desenvolvimento saudável e integral. Isso porque os estigmas sociais associados aos transtornos mentais são barreiras que podem dificultar o acesso de crianças e adolescentes a serviços de saúde e educação adequados. Nesse passo, manifesta-se impositiva a implementação de políticas públicas que busquem assegurar a essas pessoas o diagnóstico precoce, suporte psicológico, bem como os tratamentos médicos adequados para cada quadro. E não é só. A conscientização da sociedade sobre questões atinentes à saúde mental e a busca da promoção de ambientes inclusivos e acolhedores são medidas de extrema importância para o fomento da inclusão e eliminação de preconceitos. Nesse cenário, a Lei nº 10.216/2001 dispõe sobre a proteção e os direitos das pessoas portadoras de transtornos mentais e redireciona o modelo assistencial em saúde mental. Com base na referida normativa, analise as afirmativas a seguir. I. A internação psiquiátrica somente será realizada mediante laudo médico circunstanciado que caracterize os seus motivos. II. Em situações excepcionais, como, por exemplo, ausência de vaga na Comarca, é permitida a internação de pacientes portadores de transtornos mentais em instituições com características asilares. III. A internação voluntária ou involuntária deverá ser autorizada por médico devidamente registrado no Conselho Regional de Medicina (CRM) do estado onde se localize o domicílio do paciente. Está correto o que se afirma em:;"(A) I, apenas; | (B) I e II, apenas; | (C) I e III, apenas; | (D) II e III, apenas; | (E) I, II e III. Bloco II - Direito Penal, Direito Processual Penal, Direito Constitucional e Direito Eleitoral";VI.DIREITO CIVIL;17. Direitos das pessoas com deficiência: inclusão, direitos e garantias legais e co;sem aderência
TJSE25-41;Alberto, cujo prazo de validade da Carteira Nacional de Habilitação expirara há 25 dias, na condução de um caminhão, à noite, ao fazer arriscada ultrapassagem em trecho de via sinalizado com dupla faixa contínua, acaba colidindo frontalmente com um ônibus, cujo farol esquerdo estava inoperante e com lotação acima da permitida. Da colisão, restam feridos Alberto, que fica preso nas ferragens do veículo, e 18 passageiros do ônibus, além de cinco mortos (o motorista e outros quatro passageiros do ônibus). Diante do caso narrado, é correto afirmar que Alberto:;"(A) não cometeu crime, pois sua culpa se compensa com a culpa do motorista do ônibus; | (B) responde somente pelo crime de direção sem habilitação, pois, em relação à colisão, ocorreu por culpa do motorista do ônibus; | (C) responde por cinco crimes de homicídio culposo na direção de veículo automotor e 18 crimes de lesão corporal culposa na direção de veículo automotor; | (D) responde por cinco crimes de homicídio culposo na direção de veículo automotor e 18 crimes de lesão corporal culposa na direção de veículo automotor, ambos com a incidência de causa de aumento de pena; | (E) responde pelos crimes de direção sem habilitação, cinco crimes de homicídio culposo na direção de veículo automotor e 18 crimes de lesão corporal culposa na direção de veículo automotor, os dois últimos com a incidência de causa de aumento de pena. Tribunal de Justiça do Estado de Sergipe FGV Conhecimento Juiz Substituto  Tipo 1 ̶ Branca – Página 16";VIII.DIREITO PENAL;20. Tratados e convenções em matéria criminal;sem aderência
